ONSConstID,leavehanretty,Turnout17,Con17,Lab17,ld17,snp17,PC17,UKIP17,Green17,Turnout15,Con15,Lab15,LD15,SNP15,PC15,UKIP15,Green15,Turnout19,con19,lab19,ld19,brexit19,green19,snp19,pc19,Long_term_unemployed,Population_density,Industry_manufacturing,Con10,Lab10,LD10,SNP10,PC10,UKIP10,Green10,BNP10,Turn10,Region
W07000054,0.478450301,0.766211157,0.53104516,0.366047372,0.041500784,0,0.026903125,0.01532151,0.019182048,0.723,0.499,0.268,0.053,0,0.039,0.105,0.034,0.748412769,0.520939124,0.322161818,0.09775574,0,0.026943067,0,0.023537846,0.0122,1.01,0.0907,0.4829,0.2588,0.194,0,0.0274,0.0242,0.0126,0,0.741,W92000004
W07000055,0.602546849,0.643335139,0.347664313,0.565019011,0.026235741,0,0.023927213,0.0320478,0,0.627,0.273,0.407,0.064,0,0.035,0.184,0.025,0.619633159,0.389531999,0.444435257,0.05845874,0.067636845,0.015903203,0,0.024033956,0.0213,6.36,0.1183,0.2299,0.3699,0.3221,0,0.021,0.0197,0,0.0339,0.633,W92000004
W07000056,0.53006771,0.674513579,0.392858787,0.523113403,0.022468806,0,0.024793959,0.02532345,0.011441595,0.649,0.325,0.412,0.039,0,0.04,0.152,0.032,0.65158948,0.416158221,0.43692584,0.059056478,0.039762393,0.020767619,0,0.02732945,0.0201,8.85,0.1008,0.3234,0.4126,0.1658,0,0.0282,0.0288,0.0113,0.0298,0.64,W92000004
W07000057,0.349074901,0.681896197,0.163570618,0.405097845,0.022972206,0,0.408359331,0,0,0.663,0.131,0.303,0.027,0,0.439,0.085,0,0.688712543,0.152301025,0.356091353,0,0.039863796,0,0,0.451743826,0.0149,1.48,0.0523,0.1693,0.304,0.1406,0,0.3598,0.0263,0,0,0.633,W92000004
W07000058,0.533837984,0.710481536,0.445940902,0.426189736,0.029269051,0,0.098600311,0,0,0.662,0.415,0.282,0.046,0,0.117,0.115,0.024,0.712879483,0.460913228,0.397081437,0.05714734,0,0,0,0.084857995,0.016,0.94,0.0443,0.3582,0.2448,0.1931,0,0.1782,0.0211,0,0,0.672,W92000004
W07000059,0.525325044,0.697767022,0.480666109,0.396123383,0.026836228,0,0.096374281,0,0,0.648,0.433,0.256,0.036,0,0.122,0.131,0,0.696590082,0.50749944,0.339676144,0.055642614,0,0,0,0.097181802,0.0172,0.8,0.0612,0.4154,0.247,0.1522,0,0.1539,0.0227,0,0,0.658,W92000004
W07000060,0.559417007,0.679978907,0.440595595,0.502093889,0.01721642,0,0.040094096,0,0,0.624,0.39,0.384,0.026,0,0.071,0.13,0,0.6569048,0.464085132,0.414989385,0.039529197,0.039690431,0,0,0.041705855,0.0183,3.29,0.0859,0.352,0.4226,0.1259,0,0.0582,0.0145,0,0.0233,0.637,W92000004
W07000061,0.483668999,0.678941363,0.291188876,0.206702254,0.030875181,0,0.451001713,0.020231976,0,0.651,0.227,0.135,0.04,0,0.409,0.108,0.034,0.674631441,0.324345095,0.133587276,0,0.059342422,0,0,0.482725207,0.0128,0.29,0.0642,0.223,0.1391,0.1224,0,0.4433,0.0268,0,0,0.637,W92000004
W07000062,0.602582014,0.697463195,0.390830976,0.50707157,0.019506858,0,0.061189091,0.021401505,0,0.638,0.304,0.372,0.038,0,0.103,0.156,0.026,0.673343348,0.446813199,0.412686608,0.04120531,0.040434088,0,0,0.058860794,0.0165,1.15,0.1742,0.3021,0.3838,0.172,0,0.0868,0.0236,0,0.0317,0.645,W92000004
W07000063,0.559858487,0.687439661,0.518041902,0.158837523,0.251927431,0,0.056174945,0,0.0150182,0.696,0.45,0.056,0.293,0,0.052,0.112,0.037,0.69828765,0.585140586,0.163237271,0.230373531,0,0,0,0,0.0105,0.29,0.1145,0.4133,0.0712,0.3783,0,0.0829,0.0334,0,0,0.694,W92000004
